Classic Editor;https://ru.wordpress.org/plugins/classic-editor/;1169
Akismet Anti-spam: Spam Protection;https://ru.wordpress.org/plugins/akismet/;1010
Jetpack предназначен для защиты, резервного копирования, повышения скорости работы и развития вашего сайта WordPress;https://ru.wordpress.org/plugins/jetpack/;2020
Classic Widgets;https://ru.wordpress.org/plugins/classic-widgets/;246
